rec_id,first_name,last_name,gender,dob,city,health_id,national_id
rec-00000000-aaa-0,Samwel,Mugure,Male,20010718,Kapsabet,046-258-8750,200403116015435
rec-00000001-aaa-0,Ann,Chesire,Female,20011008,Nairobi,011-654-3026,200011278724128
rec-00000002-aaa-0,Nafula,Maina,Female,20000622,Malava,022-519-9225,199610089352503
rec-00000002-bbb-0,Nafula,Ma9na,,20000622,,02q-510-92w5,"1,9961020983525E+016"
rec-00000002-bbb-1,Nafuka,Maina,,20000622,,022-519-8225,
rec-00000003-aaa-0,Hellen,Chepkoech,Female,20001204,Eldoret,091-608-2962,200804041918147
rec-00000004-aaa-0,Victor,Wekesa,Male,20031109,Garissa,033-895-2890,200011281555435
rec-00000005-aaa-0,Janet,Ibrahim,Female,20011018,Malindi,091-474-7280,200009114579013
rec-00000006-aaa-0,Ali,Ondieki,Male,19960128,Nyansiongo,091-430-0349,199703205933726
rec-00000006-bbb-0,Aly,Ondteki,Male,,,,199703205933726
rec-00000007-aaa-0,Kevin,Meli,Male,19960428,Kapsabet,011-652-1790,199705237140278
rec-00000008-aaa-0,Ezekiel,Makori,Male,19951027,Bondo,011-652-1473,200405068829692
rec-00000009-aaa-0,Moreen,Nyakundi,Female,20020304,Nairobi,011-114-7369,199605274432152
rec-00000010-aaa-0,Millicent,Wanje,Female,20030507,Mombasa,025-017-3822,200201171643642
rec-00000011-aaa-0,Judy,Anyango,Female,20010117,Malindi,033-829-3419,199902269939202
rec-00000012-aaa-0,Hellen,Muia,Female,19960323,Juja,091-605-1854,200402166226928
rec-00000012-bbb-0,eHles,,Female,19960323,,,2004052166226928
rec-00000012-bbb-1,Hellen,Muoa,Female,,,092-605-1854,
rec-00000013-aaa-0,Adhiambo,Chepkorir,Male,20001128,Nairobi,011-114-3814,200001067681874
rec-00000014-aaa-0,Akinyi,Mugo,Female,20010417,Nairobi,011-111-2461,199502299759862
rec-00000015-aaa-0,Kinyua,Owiti,Female,19920110,Isiolo,058-997-6157,200712080380709
rec-00000016-aaa-0,Masinde,Toroitich,Male,19950207,Ngong,057-432-0150,199310296623507
rec-00000017-aaa-0,Joel,Kuria,Male,19970927,Wote,025-902-2334,199506098480121
rec-00000018-aaa-0,Prisca,Anyango,Female,20011005,Bungoma,022-407-5170,199606187756798
rec-00000018-bbb-0,,Anyanfo,Female,2001100t,,022-507-5170,199606187756798
rec-00000019-aaa-0,Sahara,Kerubo,Male,19970527,Nairobi,047-852-1317,198504103158995
rec-00000020-aaa-0,Maina,Wanjiku,Female,19990319,Mombasa,011-652-6579,200612226707908
rec-00000020-bbb-0,Maina,anjiku,,,,011-661-6679,200612226707908
rec-00000021-aaa-0,Grace,Ahmed,Female,19960811,Oyugis,011-111-8266,199809166358281
rec-00000022-aaa-0,Harrison,Kangogo,Male,20010109,Nairobi,011-397-8349,200610090610525
rec-00000023-aaa-0,Peter,Jepchumba,Male,19930414,Karuri,057-996-8595,199511167749779
rec-00000024-aaa-0,Hamza,Muthini,Male,19950607,Siaya,058-448-0323,200310260995431
rec-00000025-aaa-0,Esther,Hussein,Female,19960504,Muhoroni,058-664-1705,200303055582289
rec-00000025-bbb-0,,Husse9n,,19960504,Muhoroni,,203p3055582289
rec-00000026-aaa-0,Isaac,Chepchirchir,Male,19960912,Nairobi,011-652-1015,201003250997332
rec-00000026-bbb-0,Iszac,Chepxirchir,,19960912,Nairobi,,
rec-00000026-bbb-1,,Chexchirchir,Male,19960912,,011-652-10q5,201003259097332
rec-00000027-aaa-0,Agnes,Eyanae,Female,20010820,Nairobi,058-203-6445,200103300526925
rec-00000028-aaa-0,Silvia,Murungi,Female,19960407,Mariakani,011-598-2860,200701138326239
rec-00000028-bbb-0,Silvya,Murung,Female,19960407,,,
rec-00000029-aaa-0,Pauline,Emuria,Female,20020918,Taveta,025-792-5407,200507136950963
rec-00000029-bbb-0,,,Female,,Taveta,,
rec-00000030-aaa-0,Joyce,Mulwa,Female,19940707,Ruai,047-041-0198,199511019809127
rec-00000031-aaa-0,Caroline,Ouma,Female,20041222,Mombasa,011-114-6812,199811123214804
rec-00000032-aaa-0,Joseph,Abdi,Male,20011208,Eldoret,011-112-8303,200509138080571
rec-00000033-aaa-0,Sharon,Kariuki,Female,20041123,Wajir,058-603-5607,199810069948477
rec-00000033-bbb-0,xhraob,Kariuki,,20041123,,058-6o3-5607,199810069948777
rec-00000034-aaa-0,Faith,Njoroge,Female,19990820,Homa Bay,091-458-1857,199306103578516
rec-00000035-aaa-0,Njuguna,Omolo,Female,20000512,Nairobi,011-654-9567,199501061738325
rec-00000036-aaa-0,Peter,Kawira,Male,19930506,Kisumu,011-503-8202,199904299051818
rec-00000037-aaa-0,Jamal,Rioba,Male,19981021,Eldama Ravine,011-209-7248,199708085001479
rec-00000037-bbb-0,,Rioba,,,,011-20o-7q48,199708085001479
rec-00000038-aaa-0,Fatuma,Ndwiga,Female,20041113,Nairobi,057-336-7774,199704096797368
rec-00000038-bbb-0,Fatuma,Ndwiiga,,20041113,,,
rec-00000038-bbb-1,,Ndwiga,,,Nairobi,,19970409679368
rec-00000039-aaa-0,Irene,Mutheu,Female,19910103,Kisumu,011-539-6982,199701283114319
rec-00000040-aaa-0,Wesley,Akumu,Male,20050928,Nairobi,091-106-7654,200101123652136
rec-00000040-bbb-0,,Auckmu,,,Nairobi,091-106-7654,
rec-00000041-aaa-0,Yussuf,Kithinji,Male,19961130,Kisumu,098-119-0100,199507095403784
rec-00000041-bbb-0,,Kitinhi,Male,,Kisumu,,
rec-00000042-aaa-0,Valary,Chelangat,Female,19950917,Maragua,011-112-1775,199212246769362
rec-00000043-aaa-0,Emmaculate,Muriungi,Female,20020226,Runyenjes,011-655-8007,199107221864738
rec-00000044-aaa-0,Alex,Chepkoech,Male,20030417,Migori,091-717-0616,200409173956452
rec-00000044-bbb-0,Allsx,Chepckyorch,,,,091-717-0616,200409173956452
rec-00000044-bbb-1,Ales,Chepkoekh,Male,20030417,,,200490173956452
rec-00000045-aaa-0,Linda,Kimanzi,Female,19990718,Nairobi,047-347-8773,200208106590586
rec-00000046-aaa-0,Ezekiel,Musyoka,Male,19990630,Nairobi,057-636-0687,199906215467646
rec-00000046-bbb-0,Ezekiel,Mus6oka,Male,19999630,,057-636-0688,19906215467646
rec-00000046-bbb-1,,Musyoka,,19990630,,,
rec-00000047-aaa-0,Benedict,Mutheu,Female,19970925,Kisumu,046-836-6432,199608202931063
rec-00000048-aaa-0,Kelvin,Wambugu,Male,20020922,Kapsabet,011-434-3615,199808232133351
rec-00000048-bbb-0,Kekdvin,,,20020922,,,199808232133351
rec-00000048-bbb-1,Kelvin,,,,,011-434-3615,19980823213351
rec-00000049-aaa-0,Esha,Atieno,Female,20070928,Kitale,058-552-7928,200806178591907
rec-00000050-aaa-0,Edith,Charo,Female,20051125,Ngong,011-652-9413,200507030251126
rec-00000050-bbb-0,Ezdith,Caro,,20051125,,011-652-9423,200507030251126
rec-00000051-aaa-0,Mwangi,Nganga,Female,20030918,Nairobi,011-204-1155,200802212442473
rec-00000052-aaa-0,Sylvia,Langat,Female,20010211,Mombasa,091-141-8489,199703197776476
rec-00000053-aaa-0,Luka,Keter,Female,19990730,Kerugoya/Kutus,011-112-8157,199106271673578
rec-00000054-aaa-0,Paul,Muriuki,Male,20011230,Nairobi,011-112-2133,199204012501449
rec-00000055-aaa-0,Mwangi,Ahmed,Female,20010923,Ahero,047-328-7961,199503045778481
rec-00000055-bbb-0,,Aned,,20010923,Ahero,047-328-u961,
rec-00000056-aaa-0,Dorcas,Mugo,Female,19960913,Kapsabet,011-654-8936,200312154764172
rec-00000056-bbb-0,Dl9rcast,Mugl,,19960913,,011-t54-8936,200312154764172
rec-00000057-aaa-0,Elvis,Mohamed,Male,19940330,Kamulu,034-484-6318,200110157924434
rec-00000057-bbb-0,Elfis,Mohamed,,,,034-484-6318,200110175924434
rec-00000057-bbb-1,Evlis,Mohanet,Male,19940330,,,6200110157924434
rec-00000058-aaa-0,Rukia,Ewoi,Female,19990213,Muhoroni,046-550-9989,200105271430858
rec-00000059-aaa-0,Simiyu,Yussuf,Male,19950707,Mombasa,046-229-4012,199610274138271
rec-00000060-aaa-0,Bishar,Abdullahi,Female,19970508,Webuye,046-901-4676,199603069565784
rec-00000061-aaa-0,Frankline,Ogola,Male,20000223,Suneka,011-651-8577,199805289167671
